NAME                          CPU(cores)   MEMORY(bytes)   
timeserver-7c9445b569-4qhkz   1m           22Mi            
timeserver-7c9445b569-lzdrl   1m           21Mi            
timeserver-7c9445b569-nrnxw   1m           22Mi            
